Rank,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
3420,Zavier Warren,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.287,0.124,0.256,0.196,0.266,0.321,0.587,0.261,65,999.0
3421,Sammy Siani,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.247,0.117,0.291,0.228,0.295,0.345,0.64,0.283,78,999.0
3422,Quinn McDaniel,SFG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.345,0.088,0.269,0.181,0.252,0.268,0.52,0.236,50,999.0
3423,Jesús Bastidas,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.069,0.27,0.137,0.273,0.215,0.283,0.352,0.635,0.279,82,999.0
3424,Colin Barber,HOU,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.292,0.137,0.285,0.216,0.285,0.353,0.638,0.282,83,999.0
3425,Cole Conn,ATH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.271,0.081,0.237,0.18,0.252,0.262,0.514,0.234,52,999.0
3426,Shane Sasaki,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.285,0.111,0.319,0.233,0.3,0.344,0.644,0.286,79,999.0
3427,Nick Lorusso,NYM,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.264,0.109,0.243,0.192,0.263,0.301,0.563,0.252,63,999.0
3428,Nathan Martorella,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.21,0.142,0.259,0.224,0.292,0.366,0.657,0.289,82,999.0
3429,Geraldo Quintero,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.223,0.084,0.283,0.223,0.291,0.307,0.598,0.268,69,999.0
3430,Javier Herrera,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.32,0.061,0.213,0.149,0.224,0.21,0.434,0.202,27,999.0
3431,Brock Vradenburg,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.324,0.089,0.248,0.175,0.247,0.264,0.511,0.232,43,999.0
3432,Ismael Munguia,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.069,0.16699999999999998,0.121,0.278,0.245,0.311,0.367,0.678,0.299,94,999.0
3433,Connor Hollis,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07400000000000001,0.22,0.086,0.296,0.233,0.3,0.319,0.619,0.277,77,999.0
3434,Moisés Castillo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.203,0.086,0.268,0.219,0.287,0.305,0.592,0.266,70,999.0
3435,Joseph Odom,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.381,0.121,0.29,0.188,0.259,0.308,0.567,0.252,60,999.0
3436,Jonathan Engelmann,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.295,0.142,0.276,0.209,0.278,0.351,0.629,0.278,78,999.0
3437,Robinson Chirinos,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.302,0.118,0.271,0.199,0.269,0.317,0.586,0.261,66,999.0
3438,Dustin Peterson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.28800000000000003,0.126,0.273,0.207,0.276,0.333,0.609,0.27,72,999.0
3439,Kean Wong,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.256,0.078,0.291,0.218,0.286,0.296,0.583,0.262,67,999.0
3440,Jake Means,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.313,0.116,0.25,0.183,0.255,0.299,0.554,0.248,57,999.0
3441,Jhailyn Ortiz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.32899999999999996,0.139,0.292,0.21,0.279,0.349,0.628,0.277,77,999.0
3442,Chad Bell,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.348,0.152,0.284,0.204,0.273,0.356,0.629,0.277,78,999.0
3443,Joe Suozzi,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.073,0.326,0.113,0.3,0.209,0.279,0.322,0.601,0.268,71,999.0
3444,Elliot Soto,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.29,0.073,0.271,0.192,0.262,0.264,0.527,0.239,51,999.0
3445,Dillon Tatum,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.379,0.078,0.238,0.152,0.226,0.23,0.456,0.209,31,999.0
3446,Jorge Caballero,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.313,0.078,0.291,0.202,0.272,0.28,0.552,0.25,59,999.0
3447,Baron Radcliff,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.42100000000000004,0.131,0.291,0.179,0.251,0.31,0.561,0.25,58,999.0
3448,Jesus Chirinos,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.34700000000000003,0.096,0.269,0.183,0.254,0.278,0.532,0.24,52,999.0
3449,Ben Metzinger,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.365,0.079,0.259,0.168,0.241,0.247,0.488,0.223,40,999.0
3450,Rougned Odor,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.075,0.23399999999999999,0.142,0.266,0.221,0.289,0.362,0.651,0.286,84,999.0
3451,Jeferson Morales,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.073,0.223,0.125,0.279,0.228,0.295,0.353,0.648,0.286,86,999.0
3452,Ramon Mendoza,STL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.23800000000000002,0.092,0.28,0.218,0.287,0.31,0.597,0.267,71,999.0
3453,Miguel Rodríguez,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.075,0.23800000000000002,0.071,0.232,0.183,0.255,0.254,0.509,0.232,50,999.0
3454,Emilio Sanchez,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.321,0.035,0.199,0.134,0.211,0.169,0.38,0.181,14,999.0
3455,Ben Cowles,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.252,0.112,0.301,0.232,0.299,0.343,0.642,0.285,84,999.0
3456,Daniel Cabrera,DET,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.212,0.115,0.266,0.22,0.289,0.335,0.624,0.276,79,999.0
3457,Ben Williamson,SEA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.268,0.1,0.3,0.223,0.292,0.323,0.615,0.274,83,999.0
3458,Wander Franco,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.131,0.182,0.296,0.281,0.344,0.463,0.807,0.347,132,750.8
3459,Carlos Pérez,CHC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.226,0.161,0.242,0.212,0.282,0.373,0.654,0.287,85,999.0
3460,Ethan Murray,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.276,0.086,0.265,0.195,0.266,0.281,0.547,0.247,55,999.0
3461,Filippo Di Turi,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.292,0.048,0.238,0.167,0.241,0.215,0.456,0.211,31,999.0
3462,Miguel Sosa,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.34,0.071,0.237,0.16,0.234,0.231,0.465,0.214,31,999.0
3463,Levi Jordan,CIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07400000000000001,0.24,0.132,0.295,0.237,0.304,0.369,0.672,0.296,83,999.0
3464,Nicolas Deschamps,TOR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.366,0.079,0.24,0.157,0.231,0.236,0.467,0.214,36,999.0
3465,Alcides Hernandez,SDP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.309,0.043,0.201,0.14,0.217,0.183,0.4,0.189,20,999.0
3466,Matt Donlan,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07400000000000001,0.26899999999999996,0.114,0.274,0.209,0.279,0.323,0.602,0.268,67,999.0
3467,Andrew Pintar,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.244,0.117,0.288,0.227,0.295,0.344,0.638,0.283,78,999.0
3468,Henry Bolte,ATH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.374,0.129,0.323,0.209,0.279,0.338,0.617,0.273,80,999.0
3469,Jake Thompson,MIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.263,0.14,0.301,0.235,0.302,0.374,0.677,0.298,87,999.0
3470,Tyreque Reed,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.316,0.148,0.293,0.215,0.285,0.364,0.648,0.285,79,999.0
3471,Griffin Lockwood-Powell,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.272,0.13,0.259,0.204,0.275,0.335,0.609,0.27,73,999.0
3472,Will Simpson,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.083,0.282,0.146,0.304,0.233,0.3,0.379,0.679,0.298,97,999.0
3473,Ehire Adrianza,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.239,0.107,0.282,0.221,0.289,0.327,0.617,0.274,75,999.0
3474,Eric Stamets,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.076,0.306,0.098,0.259,0.186,0.258,0.283,0.541,0.244,54,999.0
3475,Agustin Ruiz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07400000000000001,0.29,0.14,0.263,0.203,0.273,0.343,0.616,0.272,74,999.0
3476,Michael Reed,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.33,0.116,0.294,0.205,0.275,0.321,0.596,0.265,69,999.0
3477,Wilmer Difo,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.24,0.088,0.277,0.215,0.285,0.303,0.587,0.264,68,999.0
3478,Michael Cantu,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.374,0.087,0.268,0.171,0.245,0.258,0.503,0.229,44,999.0
3479,Jared Wegner,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.324,0.123,0.285,0.203,0.273,0.326,0.599,0.266,71,999.0
3480,D.J. Peterson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.077,0.32,0.151,0.28,0.208,0.278,0.359,0.636,0.28,79,999.0
3481,Shed Long Jr.,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.27899999999999997,0.112,0.281,0.21,0.28,0.322,0.602,0.268,71,999.0
3482,Eduardo Quintero,LAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.305,0.087,0.255,0.184,0.256,0.27,0.527,0.239,52,999.0
3483,Darryl Collins,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.24600000000000002,0.087,0.248,0.195,0.266,0.282,0.548,0.247,57,999.0
3484,Nick Decker,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.40399999999999997,0.123,0.282,0.176,0.249,0.3,0.549,0.245,55,999.0
3485,Josh Moylan,NYY,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.3,0.098,0.254,0.187,0.259,0.285,0.544,0.244,56,999.0
3486,Coco Montes,TBR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.28,0.139,0.308,0.233,0.3,0.372,0.672,0.295,96,999.0
3487,Werner Blakely,LAA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.349,0.078,0.264,0.174,0.247,0.252,0.499,0.228,42,999.0
3488,Phillip Glasser,WSN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.078,0.18899999999999997,0.099,0.298,0.248,0.314,0.346,0.66,0.293,87,999.0
3489,Adam Retzbach,BAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.396,0.081,0.246,0.152,0.228,0.233,0.461,0.212,35,999.0
3490,Cristian Pache,ARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.083,0.298,0.121,0.303,0.22,0.289,0.341,0.63,0.279,76,999.0
3491,Yunior Severino,MIN,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081,0.31,0.156,0.303,0.225,0.294,0.381,0.675,0.295,92,999.0
3492,Johnny Tincher,CLE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.079,0.311,0.075,0.23,0.164,0.239,0.24,0.479,0.22,39,999.0
3493,Adam Hall,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07200000000000001,0.29100000000000004,0.072,0.3,0.211,0.281,0.283,0.565,0.256,61,999.0
3494,Mike Boeve,MIL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08199999999999999,0.22,0.133,0.307,0.252,0.318,0.385,0.703,0.309,97,999.0
3495,Blaine Crim,TEX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.228,0.144,0.275,0.23,0.298,0.374,0.672,0.295,91,999.0
3496,Omar Alfonzo,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.083,0.292,0.096,0.257,0.19,0.263,0.286,0.549,0.246,53,999.0
3497,Kyle Garlick,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08,0.325,0.15,0.276,0.204,0.275,0.355,0.63,0.276,77,999.0
